artista,album,ano_lancamento,copias_vendidas_certificadas,copias_vendidas_estimadas,duracao_em_minutos
Michael Jackson,Thriller,1982,47300000,66000000,42.3
AC/DC,Back in Black,1980,29400000,50000000,42.2
Meat Loaf,Bat Out of Hell,1977,21700000,50000000,46.6
Pink Floyd,The Dark Side of the Moon,1973,24400000,45000000,43.2
Whitney Houston / Various artists,The Bodyguard,1992,28400000,45000000,57.7
Eagles,Their Greatest Hits (1971-1975),1976,41200000,42000000,43.1
Bee Gees / Various artists,Saturday Night Fever,1977,21600000,40000000,75.9
Fleetwood Mac,Rumours,1977,27900000,40000000,39.7
Shania Twain,Come On Over,1997,29600000,40000000,60.1
Various Artists,Grease,1978,14400000,38000000,61.2
